INFP,INFP,4.0
INFP,ENFP,4.0
INFP,INFJ,4.0
INFP,ENFJ,5.0
INFP,INTJ,4.0
INFP,ENTJ,5.0
INFP,INTP,4.0
INFP,ENTP,4.0
INFP,ISFP,1.0
INFP,ESFP,1.0
INFP,ISTP,1.0
INFP,ESTP,1.0
INFP,ISFJ,1.0
INFP,ESFJ,1.0
INFP,ISTJ,1.0
INFP,ESTJ,1.0
ENFP,INFP,4.0
ENFP,ENFP,4.0
ENFP,INFJ,5.0
ENFP,ENFJ,4.0
ENFP,INTJ,5.0
ENFP,ENTJ,4.0
ENFP,INTP,4.0
ENFP,ENTP,4.0
ENFP,ISFP,1.0
ENFP,ESFP,1.0
ENFP,ISTP,1.0
ENFP,ESTP,1.0
ENFP,ISFJ,1.0
ENFP,ESFJ,1.0
ENFP,ISTJ,1.0
ENFP,ESTJ,1.0
INFJ,INFP,4.0
INFJ,ENFP,5.0
INFJ,INFJ,4.0
INFJ,ENFJ,4.0
INFJ,INTJ,4.0
INFJ,ENTJ,4.0
INFJ,INTP,4.0
INFJ,ENTP,5.0
INFJ,ISFP,1.0
INFJ,ESFP,1.0
INFJ,ISTP,1.0
INFJ,ESTP,1.0
INFJ,ISFJ,1.0
INFJ,ESFJ,1.0
INFJ,ISTJ,1.0
INFJ,ESTJ,1.0
ENFJ,INFP,5.0
ENFJ,ENFP,4.0
ENFJ,INFJ,4.0
ENFJ,ENFJ,4.0
ENFJ,INTJ,4.0
ENFJ,ENTJ,4.0
ENFJ,INTP,4.0
ENFJ,ENTP,4.0
ENFJ,ISFP,5.0
ENFJ,ESFP,1.0
ENFJ,ISTP,1.0
ENFJ,ESTP,1.0
ENFJ,ISFJ,1.0
ENFJ,ESFJ,1.0
ENFJ,ISTJ,1.0
ENFJ,ESTJ,1.0
INTJ,INFP,4.0
INTJ,ENFP,5.0
INTJ,INFJ,4.0
INTJ,ENFJ,4.0
INTJ,INTJ,4.0
INTJ,ENTJ,4.0
INTJ,INTP,4.0
INTJ,ENTP,5.0
INTJ,ISFP,3.0
INTJ,ESFP,3.0
INTJ,ISTP,3.0
INTJ,ESTP,3.0
INTJ,ISFJ,2.0
INTJ,ESFJ,2.0
INTJ,ISTJ,2.0
INTJ,ESTJ,2.0
ENTJ,INFP,5.0
ENTJ,ENFP,4.0
ENTJ,INFJ,4.0
ENTJ,ENFJ,5.0
ENTJ,INTJ,4.0
ENTJ,ENTJ,4.0
ENTJ,INTP,4.0
ENTJ,ENTP,4.0
ENTJ,ISFP,3.0
ENTJ,ESFP,3.0
ENTJ,ISTP,3.0
ENTJ,ESTP,3.0
ENTJ,ISFJ,3.0
ENTJ,ESFJ,3.0
ENTJ,ISTJ,3.0
ENTJ,ESTJ,3.0
INTP,INFP,4.0
INTP,ENFP,4.0
INTP,INFJ,4.0
INTP,ENFJ,4.0
INTP,INTJ,4.0
INTP,ENTJ,5.0
INTP,INTP,4.0
INTP,ENTP,4.0
INTP,ISFP,3.0
INTP,ESFP,3.0
INTP,ISTP,3.0
INTP,ESTP,3.0
INTP,ISFJ,2.0
INTP,ESFJ,2.0
INTP,ISTJ,2.0
INTP,ESTJ,5.0
ENTP,INFP,4.0
ENTP,ENFP,4.0
ENTP,INFJ,5.0
ENTP,ENFJ,4.0
ENTP,INTJ,5.0
ENTP,ENTJ,4.0
ENTP,INTP,4.0
ENTP,ENTP,4.0
ENTP,ISFP,3.0
ENTP,ESFP,3.0
ENTP,ISTP,3.0
ENTP,ESTP,3.0
ENTP,ISFJ,2.0
ENTP,ESFJ,2.0
ENTP,ISTJ,2.0
ENTP,ESTJ,2.0
ISFP,INFP,1.0
ISFP,ENFP,1.0
ISFP,INFJ,1.0
ISFP,ENFJ,5.0
ISFP,INTJ,3.0
ISFP,ENTJ,3.0
ISFP,INTP,3.0
ISFP,ENTP,3.0
ISFP,ISFP,2.0
ISFP,ESFP,2.0
ISFP,ISTP,2.0
ISFP,ESTP,2.0
ISFP,ISFJ,3.0
ISFP,ESFJ,5.0
ISFP,ISTJ,3.0
ISFP,ESTJ,5.0
ESFP,INFP,1.0
ESFP,ENFP,1.0
ESFP,INFJ,1.0
ESFP,ENFJ,1.0
ESFP,INTJ,3.0
ESFP,ENTJ,3.0
ESFP,INTP,3.0
ESFP,ENTP,3.0
ESFP,ISFP,2.0
ESFP,ESFP,2.0
ESFP,ISTP,2.0
ESFP,ESTP,2.0
ESFP,ISFJ,5.0
ESFP,ESFJ,3.0
ESFP,ISTJ,5.0
ESFP,ESTJ,3.0
ISTP,INFP,1.0
ISTP,ENFP,1.0
ISTP,INFJ,1.0
ISTP,ENFJ,1.0
ISTP,INTJ,3.0
ISTP,ENTJ,3.0
ISTP,INTP,3.0
ISTP,ENTP,3.0
ISTP,ISFP,2.0
ISTP,ESFP,2.0
ISTP,ISTP,2.0
ISTP,ESTP,2.0
ISTP,ISFJ,3.0
ISTP,ESFJ,5.0
ISTP,ISTJ,3.0
ISTP,ESTJ,5.0
ESTP,INFP,1.0
ESTP,ENFP,1.0
ESTP,INFJ,1.0
ESTP,ENFJ,1.0
ESTP,INTJ,3.0
ESTP,ENTJ,3.0
ESTP,INTP,3.0
ESTP,ENTP,3.0
ESTP,ISFP,2.0
ESTP,ESFP,2.0
ESTP,ISTP,2.0
ESTP,ESTP,2.0
ESTP,ISFJ,5.0
ESTP,ESFJ,3.0
ESTP,ISTJ,5.0
ESTP,ESTJ,3.0
ISFJ,INFP,1.0
ISFJ,ENFP,1.0
ISFJ,INFJ,1.0
ISFJ,ENFJ,1.0
ISFJ,INTJ,2.0
ISFJ,ENTJ,3.0
ISFJ,INTP,2.0
ISFJ,ENTP,2.0
ISFJ,ISFP,3.0
ISFJ,ESFP,5.0
ISFJ,ISTP,3.0
ISFJ,ESTP,5.0
ISFJ,ISFJ,4.0
ISFJ,ESFJ,4.0
ISFJ,ISTJ,4.0
ISFJ,ESTJ,4.0
ESFJ,INFP,1.0
ESFJ,ENFP,1.0
ESFJ,INFJ,1.0
ESFJ,ENFJ,1.0
ESFJ,INTJ,2.0
ESFJ,ENTJ,3.0
ESFJ,INTP,2.0
ESFJ,ENTP,2.0
ESFJ,ISFP,5.0
ESFJ,ESFP,3.0
ESFJ,ISTP,5.0
ESFJ,ESTP,3.0
ESFJ,ISFJ,4.0
ESFJ,ESFJ,4.0
ESFJ,ISTJ,4.0
ESFJ,ESTJ,4.0
ISTJ,INFP,1.0
ISTJ,ENFP,1.0
ISTJ,INFJ,1.0
ISTJ,ENFJ,1.0
ISTJ,INTJ,2.0
ISTJ,ENTJ,3.0
ISTJ,INTP,2.0
ISTJ,ENTP,2.0
ISTJ,ISFP,3.0
ISTJ,ESFP,5.0
ISTJ,ISTP,3.0
ISTJ,ESTP,5.0
ISTJ,ISFJ,4.0
ISTJ,ESFJ,4.0
ISTJ,ISTJ,4.0
ISTJ,ESTJ,4.0
ESTJ,INFP,1.0
ESTJ,ENFP,1.0
ESTJ,INFJ,1.0
ESTJ,ENFJ,1.0
ESTJ,INTJ,2.0
ESTJ,ENTJ,3.0
ESTJ,INTP,5.0
ESTJ,ENTP,2.0
ESTJ,ISFP,5.0
ESTJ,ESFP,3.0
ESTJ,ISTP,5.0
ESTJ,ESTP,3.0
ESTJ,ISFJ,4.0
ESTJ,ESFJ,4.0
ESTJ,ISTJ,4.0
ESTJ,ESTJ,4.0
